name,address,note,price_min,price_max
La Jacobine,"59-61 Rue Saint-André des Arts Passage du commerce saint andré des arts, 75006 Paris France",4.0,13.0,34.0
La Pause Libanaise,"8 Rue De L'Isly, 75008 Paris France",4.0,20.0,45.0
Little Breizh,"11 rue Gregoire de Tours Métro Odéon, 75006 Paris France",4.0,10.0,16.0
Loubnane,"29 Rue Galande, 75005 Paris France",4.0,25.0,45.0
Pizza Pasta Cosy,"63 Boulevard Lefebvre, 75015 Paris France",4.0,14.0,40.0
Crêpe Avenue,"4 rue de Surene 75008, 75008 Paris France",4.0,5.0,25.0
La Forge,"14 Rue Pascal Métro Censier Daubenton, 75005 Paris France",4.0,18.0,60.0
Racina,"43 rue Descartes, 75005 Paris France",4.0,6.0,20.0
MARDI - Crêperie Urbaine,"137 Rue Montmartre, 75002 Paris France",4.0,2.0,15.0
Bistrot Paul Chêne,"123 rue Lauriston, 75116 Paris France",4.0,18.0,60.0
Jeannot et Colin,"51 Boulevard Voltaire, 75011 Paris France",4.0,15.0,45.0
Rajpoot,"210 bd de Créteil, 94100 Saint-Maur-des-Fossés France",4.0,,
Le Boissy d'Anglas,"41 rue Boissy d'Anglas, 75008 Paris France",4.0,15.0,50.0
La Crepe Rit Du Clown,"6 Rue des Canettes, 75006 Paris France",4.0,8.0,20.0
Ripaille,"69 rue des Dames, 75017 Paris France",4.0,27.0,55.0
Fanfan,"18 Rue Bayen, 75017 Paris France",4.0,35.0,95.0
Le Sain Sert,"3 Rue Roque De Fillol, 92800 Puteaux, La Defense France",4.0,18.0,45.0
Supermian,"86 Rue De Richelieu, 75002 Paris France",4.0,,
Aux Cerises,"47 Avenue de Suffren, 75007 Paris France",4.0,13.0,29.0
Restaurant L'Homme Bleu,"Oberkampf 55 B rue Jean Pierre Timbaud, 75011 Paris France",4.0,18.0,40.0
Les Cèdres du Liban Paris,"5 Av. du Maine, 75015 Paris France",4.0,10.0,25.0
0039 Ristorante Italiano,"24 Rue des Tournelles Quartier Le Marais, 75004 Paris France",4.0,23.0,37.0
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France",0.0,0.0,0.0
Le Vieux Bistrot,"54 rue Mouffetard, 75005 Paris France",4.0,22.0,35.0
