Nom,price,time,adress,Open,Close
Marché Popincourt,0.0,2.0,"Boulevard Richard Lenoir noordelijk van Metro station Richard Lenoir, 75016 Paris France",9.0,21.0
Square Édouard VII,0.0,0.0,"Pl. Édouard VII, 75009 Paris France",9.0,21.0
UNESCO Building,0.0,0.0,"7 Place de Fontenoy Unesco, 75007 Paris France",9.0,21.0
Eglise Notre Dame des Champs,0.0,0.0,"91 boulevard du Montparnasse, 75006 Paris France",9.0,21.0
La Galerie Royale,0.0,0.0,"11 rue Royale, 75008 Paris France",9.0,21.0
Musée de la Sculpture en Plein Air,0.0,0.0,"Jardin Tino Rossi, 75005 Paris France",9.0,21.0
Monument à Pasteur,0.0,0.0,"Place de Breteuil Sur l'emplacement de l'ancienne tour du puits artésien de Breteuil, 75007 Paris France",0.0,23.59
Église Saint Honore d'Eylau,0.0,2.0,"66 Bis Avenue Raymond Poincare, 75116 Paris France",9.0,21.0
Église Saint Michel des Batignolles,0.0,2.0,"3 Place Saint-Jean, 75017 Paris France",9.0,21.0
BAPBAP  Bière Artisanale,0.0,2.0,"79 rue Saint Maur Métro: Rue Saint-Maur, ligne 3, 75011 Paris France",9.0,21.0
La Petite Ceinture du 12th arrondissement,0.0,0.0,"21 Rue Rottembourg Accessible from 21 Rue Rottembourg, 75012 Paris France",9.0,21.0
Bibliothèque Nationale de France - Richelieu Site,0.0,2.0,"58 Rue de Richelieu, 75002 Paris France",9.0,21.0
Jardin Villemin Paris X,0.0,2.0,"14 Rue des Récollets, 75010 Paris France",9.0,21.0
Mairie du 1er Arrondissement de Paris,0.0,0.0,"4 Place du Louvre, 75042 Paris France",9.0,21.0
Monument des Droits de l'Homme,0.0,0.0,"Avenue Charles Risler Champs de Mars, 75007 Paris France",9.0,21.0
Cité Florale,0.0,0.0,"Rue Brillat-Savarin, 75013 Paris France",9.0,21.0
Les Atlantes de l'avenue Daumesnil,0.0,0.0,"Rue de Rambouillet, 75012 Paris France",9.0,21.0
Préfecture de Police,0.0,0.0,"1 Rue de Lutèce Place Louis Lépine, 75004 Paris France",9.0,21.0
Théâtre du Gymnase,0.0,0.0,"38 boulevard de Bonne Nouvelle, 75010 Paris France",9.0,21.0
Square Paul-Painlevé,0.0,0.0,"2 Place Paul Painlevé, 75005 Paris France",9.0,21.0
Monument au Maréchal Galliéni,0.0,0.0,"2 avenue de Tourville Pl. Vauban, 75007 Paris France",9.0,21.0
Cité des Fleurs Paris XVII,0.0,0.0,"154 ave de Clichy, 75017 Paris France",9.0,21.0
Statue De Thomas Jefferson,0.0,0.0,Visiter le site web,9.0,21.0
La Congrégation du Saint-Esprit,0.0,0.0,"30 rue Lhomond, 75005 Paris France",9.0,21.0
Statue Mercure Chevauchant Pégase,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
Stade Sebastien Charlety,0.0,0.0,"99 Boulevard Kellermann 17 Avenue Pierre de Coubertin, 75013 Paris France",9.0,21.0
Fontaine du Palmier,0.0,0.0,"1 Place du Chatelet, 75001 Paris France",9.0,21.0
Eglise Notre Dame de Consolation,0.0,0.0,"23 rue Jean Goujon, 75008 Paris France",9.0,21.0
Statue Venus Callipyge,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
Le Buste de Charles Garnier,0.0,0.0,"Rue Scribe Rampe de l'Opéra Garnier, 75009 Paris France",9.0,21.0
Pont Louis Philippe,0.0,0.0,"Quai de l'Hotel de Ville, 75004 Paris France",9.0,21.0
Square Nadar Paris XVIII,0.0,0.0,"2, rue Saint-Éleuthère Accès Rue Azaïs, 75018 Paris France",9.0,21.0
Square Barye,0.0,0.0,"2 Boulevard Henri IV Ile Saint Louis, 75004 Paris France",9.0,21.0
Jardin Sauvage de St-Vincent,0.0,2.0,"17 rue Saint Vincent, 75018 Paris France",9.0,21.0
Maison de Robespierre,0.0,0.0,"398 rue Saint Honore, 75001 Paris France",9.0,21.0
Temple du Marais - Eglise Reformée du Marais,0.0,0.0,"17 rue Saint Antoine, 75004 Paris France",9.0,21.0
Jardin de l'Intendant Paris VII,0.0,0.0,"Avenue de Tourville Boulevard de Latour Maubourg, 75007 Paris France",9.0,21.0
À la Gloire de l’Armée Française 1914-1918,0.0,0.0,"Place du Trocadero, 75016 Paris France",9.0,21.0
Statue de Beaumarchais,0.0,0.0,"Rue des Tournelles, 75004 Paris France",9.0,21.0
Galerie de Botanique - Jardin des Plantes Paris V,0.0,2.0,En savoir plus sur le bien-être animal dans le tourisme,10.0,18.0
